range_params,upscale,epoch_number,compression,val_top_1
"[1, 0.8, 0.8, 0.8]",0.07,0,0.29401993355481726,0.609082043170929
"[1, 0.8, 0.8, 0.8]",0.17,1,0.53789955810728,0.6005859375
"[1, 0.8, 0.8, 0.8]",0.27,2,0.636615811373093,0.5672851800918579
"[1, 0.8, 0.8, 0.8]",0.37,3,0.6794987581846919,0.580078125
"[1, 0.8, 0.8, 0.8]",0.47,4,0.7115601715962971,0.598437488079071
"[1, 0.8, 0.8, 0.8]",0.57,5,0.7500725736219076,0.5967773199081421
"[1, 0.8, 0.8, 0.8]",0.6699999999999999,6,0.7714414734057995,0.5943359136581421
"[1, 0.8, 0.8, 0.8]",0.7699999999999999,7,0.7802309453923814,0.5889648199081421
"[1, 0.8, 0.8, 0.8]",0.8699999999999999,8,0.7862948746895462,0.595507800579071
"[1, 0.8, 0.8, 0.8]",0.9699999999999999,9,0.7930361577911815,0.5829101800918579
"[1, 0.8, 0.8, 0.8]",1.0699999999999998,10,0.8037447988904299,0.58984375
"[1, 0.8, 0.8, 0.8]",1.17,11,0.8122278489178466,0.578906238079071
"[1, 0.8, 0.8, 0.8]",1.27,12,0.8196303583524175,0.587207019329071
"[1, 0.8, 0.8, 0.8]",1.37,13,0.8276134567622488,0.58740234375
"[1, 0.8, 0.8, 0.8]",1.4700000000000002,14,0.8311453730284166,0.590136706829071
"[1, 0.8, 0.8, 0.8]",1.5700000000000003,15,0.8343224849208141,0.5752929449081421
"[1, 0.8, 0.8, 0.8]",1.6700000000000004,16,0.837870528658517,0.579296886920929
"[1, 0.8, 0.8, 0.8]",1.7700000000000005,17,0.8406928361771442,0.553027331829071
"[1, 0.8, 0.8, 0.8]",1.8700000000000006,18,0.8424184756313905,0.569140613079071
"[1, 0.8, 0.8, 0.8]",1.9700000000000006,19,0.845498822694578,0.541210949420929
"[1, 0.8, 0.8, 0.8]",2.0700000000000007,20,0.845579460052253,0.5752929449081421
"[1, 0.8, 0.8, 0.8]",2.170000000000001,21,0.8478534335386898,0.567089855670929
"[1, 0.8, 0.8, 0.8]",2.270000000000001,22,0.8497726026513563,0.5591796636581421
"[1, 0.8, 0.8, 0.8]",2.370000000000001,23,0.8498854949521014,0.5614258050918579
"[1, 0.8, 0.8, 0.8]",2.470000000000001,24,0.8519820662516531,0.5663086175918579
"[1, 0.8, 0.8, 0.8]",2.570000000000001,25,0.8520143211947231,0.565234363079071
"[1, 0.8, 0.8, 0.8]",2.6700000000000013,26,0.8522078508531432,0.554882824420929
"[1, 0.8, 0.8, 0.8]",2.7700000000000014,27,0.8529980969583588,0.55908203125
"[1, 0.8, 0.8, 0.8]",2.8700000000000014,28,0.853143244202174,0.5665038824081421
"[1, 0.8, 0.8, 0.8]",2.9700000000000015,29,0.8535786859336193,0.5665038824081421
"[1, 0.8, 0.8, 0.8]",3.0700000000000016,30,0.8552559429732607,0.522265613079071
"[1, 0.8, 0.8, 0.8]",3.1700000000000017,31,0.8558526594200562,0.541015625
