range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.81, 0.81, 0.81, 0.71]",0.16,+,0,0.9630296339624818,0.10205078125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,1,0.9735955380166584,0.10205078125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,2,0.9784315502426244,0.1061523407697677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,3,0.9813026750479894,0.14111328125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,4,0.9830986727741574,0.2209960967302322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,5,0.9843097354610688,0.2303710877895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,6,0.9852159728458324,0.2136718779802322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,7,0.9859080086669249,0.2210937440395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,8,0.9864311547935838,0.2469726502895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,9,0.9869337046160436,0.2322265654802322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,10,0.9873167958741484,0.2301757782697677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,11,0.987621621176296,0.1778320372104644
"[0.81, 0.81, 0.81, 0.71]",0.16,+,12,0.9879099694350846,0.1753906309604644
"[0.81, 0.81, 0.81, 0.71]",0.16,+,13,0.9881447673029552,0.17822265625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,14,0.9883589688666266,0.1962890625
"[0.81, 0.81, 0.81, 0.71]",0.16,+,15,0.9884907852135012,0.1984374970197677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,16,0.9886102437778566,0.2115234434604644
"[0.81, 0.81, 0.81, 0.71]",0.16,+,17,0.9887173445596922,0.2174804657697677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,18,0.9888120875590084,0.2052734345197677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,19,0.9889274268625238,0.2020507752895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,20,0.9890139313401604,0.1978515684604644
"[0.81, 0.81, 0.81, 0.71]",0.16,+,21,0.9890674817310782,0.201171875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,22,0.989145747687035,0.1999023407697677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,23,0.989219894382152,0.19921875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,24,0.9892858025555894,0.2131835967302322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,25,0.9893352336856674,0.2268554717302322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,26,0.9893764262940656,0.2233398407697677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,27,0.9894093803807844,0.2263671904802322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,28,0.9894176189024642,0.2385742217302322
"[0.81, 0.81, 0.81, 0.71]",0.16,+,29,0.989446453728343,0.2408203184604644
"[0.81, 0.81, 0.81, 0.71]",0.16,+,30,0.9894752885542218,0.2472656220197677
"[0.81, 0.81, 0.81, 0.71]",0.16,+,31,0.989495884858421,0.2586914002895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,32,0.9895041233801006,0.2589843869209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,33,0.9895247196843,0.2669921815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,34,0.989545315988499,0.270312488079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,35,0.9895535545101788,0.263671875
"[0.81, 0.81, 0.81, 0.71]",0.16,+,36,0.9895617930318584,0.267871081829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,37,0.9895659122926982,0.2638671994209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,38,0.9895782700752176,0.2681640684604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,39,0.9895782700752176,0.2637695372104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,40,0.9895823893360576,0.261523425579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,41,0.9895988663794169,0.2618164122104645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,42,0.9896029856402568,0.2667968869209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,43,0.9896112241619364,0.2723632752895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,44,0.989619462683616,0.274707019329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,45,0.9896277012052958,0.282519519329071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,46,0.9896318204661356,0.293261706829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,47,0.9896359397269754,0.2936523556709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,48,0.9896359397269754,0.29345703125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,49,0.9896359397269754,0.2982421815395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,50,0.9896359397269754,0.2931640744209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,51,0.9896400589878152,0.291308581829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,52,0.9896400589878152,0.2892578244209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,53,0.9896400589878152,0.2943359315395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,54,0.9896400589878152,0.305468738079071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,55,0.9896400589878152,0.2994140684604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,56,0.9896400589878152,0.3006835877895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,57,0.9896400589878152,0.30078125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,58,0.989644178248655,0.3045898377895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,59,0.989644178248655,0.302539050579071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,60,0.989644178248655,0.3031249940395355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,61,0.989644178248655,0.3019531369209289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,62,0.989644178248655,0.2984375059604645
"[0.81, 0.81, 0.81, 0.71]",0.16,+,63,0.989644178248655,0.3004882931709289
"[0.81, 0.81, 0.81, 0.71]",0.16,+,64,0.989644178248655,0.3017578125
"[0.81, 0.81, 0.81, 0.71]",0.16,+,65,0.989644178248655,0.3006835877895355
"[0.81, 0.81, 0.81, 0.71]",0.16,+,66,0.989644178248655,0.291308581829071
"[0.81, 0.81, 0.81, 0.71]",0.16,+,67,0.989644178248655,0.2900390625
