range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1650,0.99058337,0.671679676
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1651,0.99058337,0.67275393
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1652,0.990587489,0.670507789
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1653,0.990587489,0.668945313
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1654,0.990591608,0.673046887
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1655,0.990591608,0.671093762
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1656,0.990591608,0.669335961
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1657,0.990591608,0.668554664
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1658,0.990591608,0.670800805
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1659,0.990591608,0.671289086
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1660,0.990591608,0.672167957
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1661,0.990595728,0.671484351
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1662,0.990595728,0.669140637
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1663,0.990599847,0.671875
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1664,0.990599847,0.670898438
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1665,0.990603966,0.698535144
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1666,0.990603966,0.695019543
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1667,0.990603966,0.690625012
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1668,0.990603966,0.686914086
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1669,0.990608085,0.683105469
"[0.9995, 0.9995, 0.9995, 0.9994]",0.28,+,1670,0.990612205,0.681738257
