range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,0,0.5586417973158896,0.4281249940395355
"[1, 0.14, 0.14, 0.1]",0.01,+,1,0.6375421194420873,0.5308593511581421
"[1, 0.14, 0.14, 0.1]",0.01,+,2,0.6882461011196152,0.5712890625
"[1, 0.14, 0.14, 0.1]",0.01,+,3,0.7242443215989323,0.6546875238418579
"[1, 0.14, 0.14, 0.1]",0.01,+,4,0.7512131223173314,0.6556640863418579
"[1, 0.14, 0.14, 0.1]",0.01,+,5,0.7722913800347666,0.707812488079071
"[1, 0.14, 0.14, 0.1]",0.01,+,6,0.7888178545241842,0.756054699420929
"[1, 0.14, 0.14, 0.1]",0.01,+,7,0.8024196538173191,0.7525390386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,8,0.8135004654764749,0.75
"[1, 0.14, 0.14, 0.1]",0.01,+,9,0.822830591278701,0.7520507574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,10,0.8308837462205781,0.7579101324081421
"[1, 0.14, 0.14, 0.1]",0.01,+,11,0.8377876273881415,0.7459961175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,12,0.843863537126898,0.7437499761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,13,0.849226814740363,0.7754882574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,14,0.854017515097091,0.78759765625
"[1, 0.14, 0.14, 0.1]",0.01,+,15,0.8582397574579218,0.77490234375
"[1, 0.14, 0.14, 0.1]",0.01,+,16,0.86202535816973,0.788769543170929
"[1, 0.14, 0.14, 0.1]",0.01,+,17,0.8651683541905241,0.795214831829071
"[1, 0.14, 0.14, 0.1]",0.01,+,18,0.8683854969064351,0.7984374761581421
"[1, 0.14, 0.14, 0.1]",0.01,+,19,0.8710630164523278,0.7978515625
"[1, 0.14, 0.14, 0.1]",0.01,+,20,0.8736869856073026,0.787890613079071
"[1, 0.14, 0.14, 0.1]",0.01,+,21,0.8759402212866924,0.794921875
"[1, 0.14, 0.14, 0.1]",0.01,+,22,0.8781316680534845,0.7894531488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,23,0.8800430050831679,0.800000011920929
"[1, 0.14, 0.14, 0.1]",0.01,+,24,0.8818266450268164,0.808398425579071
"[1, 0.14, 0.14, 0.1]",0.01,+,25,0.8833384137550357,0.8046875
"[1, 0.14, 0.14, 0.1]",0.01,+,26,0.8847472009622593,0.8084961175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,27,0.8860612451701667,0.8086913824081421
"[1, 0.14, 0.14, 0.1]",0.01,+,28,0.8873546930738748,0.811816394329071
"[1, 0.14, 0.14, 0.1]",0.01,+,29,0.8885410401957473,0.8143554925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,30,0.8896285250574637,0.81787109375
"[1, 0.14, 0.14, 0.1]",0.01,+,31,0.890666578789102,0.820019543170929
"[1, 0.14, 0.14, 0.1]",0.01,+,32,0.891692274738221,0.8203125
"[1, 0.14, 0.14, 0.1]",0.01,+,33,0.8926191084271838,0.825488269329071
"[1, 0.14, 0.14, 0.1]",0.01,+,34,0.8935459421161467,0.821484386920929
"[1, 0.14, 0.14, 0.1]",0.01,+,35,0.8944151061533518,0.825488269329071
"[1, 0.14, 0.14, 0.1]",0.01,+,36,0.895160692365362,0.8294922113418579
"[1, 0.14, 0.14, 0.1]",0.01,+,37,0.8957909392738567,0.8223632574081421
"[1, 0.14, 0.14, 0.1]",0.01,+,38,0.8964376632257107,0.833203136920929
"[1, 0.14, 0.14, 0.1]",0.01,+,39,0.8970020019607682,0.8335937261581421
"[1, 0.14, 0.14, 0.1]",0.01,+,40,0.8975663406958255,0.838085949420929
"[1, 0.14, 0.14, 0.1]",0.01,+,41,0.8980688905182854,0.8368164300918579
"[1, 0.14, 0.14, 0.1]",0.01,+,42,0.8985673210799054,0.838671863079071
"[1, 0.14, 0.14, 0.1]",0.01,+,43,0.8990245590331271,0.8397461175918579
"[1, 0.14, 0.14, 0.1]",0.01,+,44,0.8995106318122276,0.844042956829071
"[1, 0.14, 0.14, 0.1]",0.01,+,45,0.8999884660696484,0.8407226800918579
"[1, 0.14, 0.14, 0.1]",0.01,+,46,0.9003303647193548,0.84375
"[1, 0.14, 0.14, 0.1]",0.01,+,47,0.9006599055865415,0.8447265625
"[1, 0.14, 0.14, 0.1]",0.01,+,48,0.900997684975408,0.843554675579071
"[1, 0.14, 0.14, 0.1]",0.01,+,49,0.901323106581755,0.84423828125
"[1, 0.14, 0.14, 0.1]",0.01,+,50,0.9016155741013833,0.841113269329071
"[1, 0.14, 0.14, 0.1]",0.01,+,51,0.9018915645776522,0.8490234613418579
"[1, 0.14, 0.14, 0.1]",0.01,+,52,0.902146958749722,0.844531238079071
"[1, 0.14, 0.14, 0.1]",0.01,+,53,0.9024929766602681,0.845703125
"[1, 0.14, 0.14, 0.1]",0.01,+,54,0.9027360130498183,0.8460937738418579
"[1, 0.14, 0.14, 0.1]",0.01,+,55,0.9029378568309703,0.84326171875
"[1, 0.14, 0.14, 0.1]",0.01,+,56,0.9031149850470831,0.845703125
"[1, 0.14, 0.14, 0.1]",0.01,+,57,0.9033333058715944,0.8436523675918579
"[1, 0.14, 0.14, 0.1]",0.01,+,58,0.9035310303919065,0.8443359136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,59,0.9036793237821406,0.8443359136581421
"[1, 0.14, 0.14, 0.1]",0.01,+,60,0.9038234979115347,0.846484363079071
"[1, 0.14, 0.14, 0.1]",0.01,+,61,0.903992387605968,0.844433605670929
"[1, 0.14, 0.14, 0.1]",0.01,+,62,0.9041200846920029,0.845019519329071
"[1, 0.14, 0.14, 0.1]",0.01,+,63,0.9043013321689556,0.848339855670929
