range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[1, 0.14, 0.14, 0.1]",0.01,+,0,0.5764287656222967,0.4240234494209289
"[1, 0.14, 0.14, 0.1]",0.01,+,1,0.6516547070793617,0.51953125
"[1, 0.14, 0.14, 0.1]",0.01,+,2,0.6993186742570913,0.6275390386581421
"[1, 0.14, 0.14, 0.1]",0.01,+,3,0.7323057150624892,0.740917980670929
"[1, 0.14, 0.14, 0.1]",0.01,+,4,0.7559791071090204,0.76806640625
"[1, 0.14, 0.14, 0.1]",0.01,+,5,0.7737413598503885,0.8028320074081421
"[1, 0.14, 0.14, 0.1]",0.01,+,6,0.7872031042749689,0.808398425579071
"[1, 0.14, 0.14, 0.1]",0.01,+,7,0.7978843476326608,0.798828125
"[1, 0.14, 0.14, 0.1]",0.01,+,8,0.806262924180885,0.8080078363418579
"[1, 0.14, 0.14, 0.1]",0.01,+,9,0.8129937963931753,0.81494140625
"[1, 0.14, 0.14, 0.1]",0.64,+,0,0.9648915398620872,0.10205078125
"[1, 0.14, 0.14, 0.1]",0.64,+,1,0.977393496510986,0.10205078125
"[1, 0.14, 0.14, 0.1]",0.64,+,2,0.980338768011468,0.10205078125
"[1, 0.14, 0.14, 0.1]",0.64,+,3,0.981310913569669,0.10205078125
"[1, 0.14, 0.14, 0.1]",0.64,+,4,0.9817146011319728,0.10205078125
"[1, 0.14, 0.14, 0.1]",0.64,+,5,0.9819288026956444,0.1080078110098838
"[1, 0.14, 0.14, 0.1]",0.64,+,6,0.9821430042593156,0.1696289032697677
"[1, 0.14, 0.14, 0.1]",0.64,+,7,0.9823530865621471,0.1737304627895355
"[1, 0.14, 0.14, 0.1]",0.64,+,8,0.9825260955174204,0.1875
"[1, 0.14, 0.14, 0.1]",0.64,+,9,0.9826908659510136,0.1929687559604644
"[1, 0.14, 0.14, 0.1]",0.01,*,0,0.0,0.8744140863418579
"[1, 0.14, 0.14, 0.1]",0.01,*,1,0.0,0.8731445074081421
"[1, 0.14, 0.14, 0.1]",0.01,*,2,0.0,0.8648437261581421
"[1, 0.14, 0.14, 0.1]",0.01,*,3,0.0,0.870898425579071
"[1, 0.14, 0.14, 0.1]",0.01,*,4,0.0,0.869921863079071
"[1, 0.14, 0.14, 0.1]",0.01,*,5,0.0,0.867968738079071
"[1, 0.14, 0.14, 0.1]",0.01,*,6,0.0,0.8721679449081421
"[1, 0.14, 0.14, 0.1]",0.01,*,7,0.0,0.8720703125
"[1, 0.14, 0.14, 0.1]",0.01,*,8,0.0,0.86328125
"[1, 0.14, 0.14, 0.1]",0.01,*,9,0.0,0.871874988079071
"[1, 0.14, 0.14, 0.1]",0.64,*,0,0.4209472652227284,0.546093761920929
"[1, 0.14, 0.14, 0.1]",0.64,*,1,0.5136017992931349,0.6905273199081421
"[1, 0.14, 0.14, 0.1]",0.64,*,2,0.5754154274556974,0.751757800579071
"[1, 0.14, 0.14, 0.1]",0.64,*,3,0.6192567205740602,0.7578125
"[1, 0.14, 0.14, 0.1]",0.64,*,4,0.6513498817772139,0.7601562738418579
"[1, 0.14, 0.14, 0.1]",0.64,*,5,0.6759665845560673,0.7724609375
"[1, 0.14, 0.14, 0.1]",0.64,*,6,0.6952859178948929,0.7928711175918579
"[1, 0.14, 0.14, 0.1]",0.64,*,7,0.7105189444806024,0.8096679449081421
"[1, 0.14, 0.14, 0.1]",0.64,*,8,0.7225595439154399,0.814453125
"[1, 0.14, 0.14, 0.1]",0.64,*,9,0.7322892380191298,0.8299804925918579
"[1, 0.14, 0.14, 0.1]",0.01,+,0,0.5772361407469043,0.3954101502895355
"[1, 0.14, 0.14, 0.1]",0.01,+,1,0.6522767154661767,0.530078113079071
"[1, 0.14, 0.14, 0.1]",0.01,+,2,0.6995781876900009,0.667285144329071
"[1, 0.14, 0.14, 0.1]",0.01,+,3,0.7323427884100477,0.75390625
"[1, 0.14, 0.14, 0.1]",0.01,+,4,0.7558472907621456,0.753222644329071
"[1, 0.14, 0.14, 0.1]",0.01,+,5,0.7735601123734357,0.77685546875
"[1, 0.14, 0.14, 0.1]",0.01,+,6,0.7868735634077821,0.789746105670929
"[1, 0.14, 0.14, 0.1]",0.01,+,7,0.797431228940279,0.809374988079071
"[1, 0.14, 0.14, 0.1]",0.01,+,8,0.8058509980969015,0.8134765625
"[1, 0.14, 0.14, 0.1]",0.01,+,9,0.8125324391791137,0.808300793170929
"[1, 0.14, 0.14, 0.1]",0.01,+,10,0.8180028175744144,0.811816394329071
"[1, 0.14, 0.14, 0.1]",0.01,+,11,0.8224639770639557,0.809374988079071
"[1, 0.14, 0.14, 0.1]",0.01,+,12,0.8262042659065257,0.8246093988418579
"[1, 0.14, 0.14, 0.1]",0.01,+,13,0.8292978307972417,0.8285156488418579
"[1, 0.14, 0.14, 0.1]",0.01,+,14,0.8318558917787792,0.8360351324081421
"[1, 0.14, 0.14, 0.1]",0.01,+,15,0.8339237607203763,0.83544921875
"[1, 0.14, 0.14, 0.1]",0.01,+,16,0.8357362354899037,0.8330078125
