range_params,upscale,upscale_method,epoch_number,compression,val_top_1
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,2.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,3.0,0.9943442548669068,0.1018554717302322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,4.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,5.0,0.9943442548669068,0.1014648452401161
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,6.0,0.9943483741277466,0.1337890625
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,7.0,0.9943483741277466,0.09912109375
"[0.9995, 0.9994, 0.9997, 0.9992]",0.99,+,8.0,0.9943524933885864,0.09912109375
,,,,,
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,1.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,2.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,3.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,4.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,5.0,0.9943442548669068,0.1022460907697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,6.0,0.9943483741277466,0.1032226532697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,7.0,0.9943566126494262,0.1043945327401161
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,8.0,0.9943566126494262,0.1036132797598838
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,2.0,0.9943401356060668,0.0994140654802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,3.0,0.9943401356060668,0.0941406264901161
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,4.0,0.9943442548669068,0.1076171845197677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,5.0,0.9943442548669068,0.1429687440395355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,6.0,0.9943442548669068,0.1683593690395355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,7.0,0.9943483741277466,0.1291992217302322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,8.0,0.9943483741277466,0.1260742247104644
,,,,,
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,2.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,3.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,4.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,5.0,0.9943442548669068,0.1022460907697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,6.0,0.9943483741277466,0.1095703095197677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,7.0,0.9943483741277466,0.1256835907697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.999999,+,8.0,0.9943483741277466,0.1435546875
,0.9,+,4.0,0.9943483741277466,0.11669921875
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,5.0,0.9943524933885864,0.1926757842302322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,6.0,0.994360731910266,0.2007812559604644
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,7.0,0.9943648511711058,0.2058593779802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,8.0,0.9943648511711058,0.1988281309604644
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,2.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,3.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,4.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,2.0,0.9943442548669068,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,3.0,0.9943442548669068,0.1018554717302322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,4.0,0.9943483741277466,0.1011718735098838
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,5.0,0.9943524933885864,0.0990234389901161
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,6.0,0.9943524933885864,0.12890625
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,7.0,0.9943524933885864,0.1238281279802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.9,+,8.0,0.9943524933885864,0.1520507782697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,9.0,0.9943566126494262,0.1806640625
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,10.0,0.9943566126494262,0.1979492157697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,11.0,0.9943566126494262,0.1886718720197677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,12.0,0.9943566126494262,0.1978515684604644
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,13.0,0.9943566126494262,0.2109375
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,14.0,0.9943566126494262,0.2220703065395355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,15.0,0.994360731910266,0.2292968779802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,16.0,0.994360731910266,0.2323242127895355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,17.0,0.9943648511711058,0.2379882782697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.91,+,18.0,0.9943648511711058,0.2399414032697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,19.0,0.9943689704319456,0.2438476532697677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,20.0,0.9943689704319456,0.2455078065395355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,21.0,0.9943689704319456,0.2107421904802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,22.0,0.9943689704319456,0.2136718779802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,23.0,0.9943689704319456,0.2160156220197677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,24.0,0.9943689704319456,0.2205078154802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,25.0,0.9943689704319456,0.2111328095197677
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,26.0,0.9943689704319456,0.2083984315395355
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,27.0,0.9943730896927856,0.2185546904802322
"[0.9995, 0.9994, 0.9997, 0.9992]",0.93,+,28.0,0.9943730896927856,0.21826171875
"[0.9995, 0.9994, 0.9997, 0.9992]",0.97,+,0.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.97,+,1.0,0.9943401356060668,0.10205078125
"[0.9995, 0.9994, 0.9997, 0.9992]",0.97,+,2.0,0.9943442548669068,0.10205078125
