prune_rate,compression,epochs,top_5,top_1
0.05,0.0189568383849202,30,0.99951171875,0.978417992591858
0.1,0.0381649516810703,30,0.999316394329071,0.9775390625
1.1,0.4185045435447063,30,0.99951171875,0.977343738079071
1.5,0.5648907160099191,30,0.999414086341858,0.97607421875
1.7,0.6367841754475577,30,0.999609351158142,0.975976586341858
2.2,0.7989100435817796,30,0.999609351158142,0.976171851158142
2.4,0.8534161030144751,30,0.999609351158142,0.974804699420929
2.8,0.9198185877526136,30,0.999316394329071,0.972949206829071
3.15,0.9472199108591954,30,0.999121069908142,0.967480480670929
3.29,0.9551453687150376,30,0.99853515625,0.963281273841858
3.45,0.9626877353127756,30,0.998046875,0.863085925579071
3.75,0.973406052018026,30,0.993554711341858,0.8428710699081421
4.5,0.9879182079567642,30,0.686718761920929,0.2955078184604645
6.0,0.9961320140713952,30,0.517382800579071,0.11376953125
3.33,0.9572338339608341,30,0.99853515625,0.9618164300918579
3.4,0.9605004078068231,30,0.99853515625,0.95849609375
3.65,0.9702424596930327,30,0.995800793170929,0.853808581829071
3.7,0.9719972648108024,30,0.994140625,0.844921886920929
3.9,0.9775005972928218,30,0.975878894329071,0.570996105670929
4.2,0.9836382959441757,30,0.881640613079071,0.47705078125
5.2,0.993339155221987,30,0.514355480670929,0.11376953125
5.8,0.9956212257272555,30,0.514355480670929,0.11376953125
